time,open,high,low,close,CDV Line,CDV Candles (Open),CDV Candles (High,CDV Candles (Low),CDV Candles (Close),SMA 1,SMA 2,EMA 1,EMA 2
1705944600,38181,38184,38151,38167,,45818.629579677945,46283.851562201504,45361.654592504536,45822.753077353016,,,,
1705945200,38165,38183,38160,38168,,45820.69132851548,45820.69132851548,45361.654592504536,45573.328505548016,,,,
1705945800,38167,38182,38155,38177,,45697.00991703175,46473.613529702605,45697.00991703175,46129.30797414704,,,,
1705946400,38178,38178,38151,38160,,45913.1589455894,46473.613529702605,45082.78019636927,45778.19686303594,,,,
1705947000,38159,38180,38153,38156,,45845.67790431267,45845.67790431267,44527.224640813714,44805.002418591495,,,,
1705947600,38157,38165,38097,38105,,45325.340161452084,45325.340161452084,42633.69522904901,43580.459934931365,,,,
1705948200,38106,38135,38101,38129,,44452.900048191725,44452.900048191725,42633.69522904901,43389.78346434313,,,,
1705948800,38129,38148,38118,38144,,43921.34175626743,45228.121699637246,43921.34175626743,44686.996699637246,,,,
1705949400,38145,38172,38142,38166,,44304.16922795234,46533.721699637244,44304.16922795234,45880.92169963724,,,,
1705950000,38167,38180,38166,38173,,45092.54546379479,47108.00741392296,45092.54546379479,46820.8645567801,,,,
1705950600,38174,38175,38129,38133,,45956.70501028745,47108.00741392296,45740.5943704447,46424.300892183834,,,,
1705951200,38133,38160,38116,38159,,46190.50295123564,47019.68527953561,45740.5943704447,46380.139824990154,,,,
1705951800,38159,38170,38135,38157,,46285.3213881129,47019.68527953561,46040.77099382132,46530.22813667847,,,,
1705952400,38158,38161,38143,38157,,46407.77476239568,46407.77476239568,45631.74321604354,45836.25710493243,,,,
1705953000,38157,38167,38153,38165,,46122.01593366406,46224.171787472114,45631.74321604354,45927.95750175783,,,,
1705953600,38165,38173,38147,38171,,46024.98671771094,46987.248710549036,46024.98671771094,46605.710249010575,,,,
1705954200,38171,38181,38161,38178,,46315.34848336076,47783.748710549036,46315.34848336076,47385.498710549036,,,,
1705954800,38176,38202,38169,38192,,46850.4235969549,48653.12749842782,46850.4235969549,48218.43810448843,,,,
1705955400,38192,38203,38183,38185,,47534.43085072166,48653.12749842782,47534.43085072166,48300.77749842782,,,,
1705956000,38186,38197,38173,38176,,47917.60417457474,47948.42749842782,46728.67749842782,47338.55249842782,,,,
1705956600,38175,38210,38167,38200,,47628.07833650128,50852.956568195266,46728.67749842782,48790.81703331154,,,,
1705957200,38201,38207,38194,38194,,48209.44768490641,50852.956568195266,48209.44768490641,50117.57195281065,,,,
1705957800,38196,38199,38193,38194,,49163.509818858525,49382.18733742603,49163.509818858525,49312.854004092704,,,,
1706020200,38121,38171,38095,38098,,49238.181911475614,49243.52067075937,43405.777249706734,46324.648960233055,,,,
1706020800,38098,38112,38067,38095,,47781.41543585433,47781.41543585433,41221.2439163734,42313.51058304007,,,,
1706021400,38095,38113,38087,38105,,45047.4630094472,45047.4630094472,41221.2439163734,42062.0516086811,,,,
1706022000,38105,38130,38088,38096,,43554.75730906415,43554.75730906415,41459.68072956021,42181.270015274495,,,,
1706022600,38097,38129,38095,38127,,42868.013662169324,43540.6219060308,41459.68072956021,42500.151317795506,,,,
1706023200,38127,38140,38099,38117,,42684.082489982415,43540.6219060308,41794.80483286007,42667.71336944544,,,,
1706023800,38118,38119,38055,38075,,42675.89792971393,42675.89792971393,39582.07827036007,40688.44155161007,,,,
1706024400,38074,38079,38028,38050,,41682.169740662,41682.169740662,37543.84297624242,38562.960623301246,,,,
1706025000,38048,38048,38026,38031,,40122.56518198163,40122.56518198163,35891.661158060604,36717.75206715151,,,,
1706025600,38032,38047,38024,38038,,38420.15862456657,38420.15862456657,35891.661158060604,36675.606810234516,,,,
1706026200,38039,38055,38017,38025,,37547.88271740054,37547.88271740054,35844.13140977685,36651.841936092635,,,,
1706026800,38025,38031,37986,37994,,37099.86232674659,37099.86232674659,33108.13140977685,34476.13140977685,,,,
1706027400,37994,37998,37976,37995,,35787.99686826172,35787.99686826172,33108.13140977685,33831.58595523139,,,,
1706028000,37995,38017,37984,37988,,34809.791411746555,34809.791411746555,33515.04050068594,34035.04050068594,,,,
1706028600,37989,38013,37983,38010,,34422.415956216246,34653.19050068594,33515.04050068594,34084.11550068593,,,,
1706029200,38011,38023,38005,38013,,34253.26572845109,35220.41272290816,34253.26572845109,34936.80161179705,,,,
1706029800,38014,38021,38003,38019,,34595.033670124074,35767.30161179705,34595.033670124074,35493.8571673526,,,,
1706030400,38019,38019,38001,38007,,35044.44541873834,35767.30161179705,35044.44541873834,35422.71827846371,,,,
1706031000,38006,38018,37996,38000,,35233.581848601025,35233.581848601025,34554.40767240311,34816.27130876675,,,,
1706031600,37999,38010,37991,37999,,35024.92657868389,35024.92657868389,34554.40767240311,34775.90767240311,,,,
1706032200,37998,38044,37998,38041,,34900.4171255435,36376.90767240311,34900.4171255435,35687.15767240311,,,,
1706032800,38042,38044,38024,38028,,35293.787398973305,36376.90767240311,35293.787398973305,35924.70767240311,,,,
1706033400,38029,38046,38025,38038,,35609.247535688206,36016.07910097454,35472.50767240311,35744.29338668882,,,,
1706034000,38039,38048,38032,38034,,35676.77046118851,36016.07910097454,35490.42285097454,35753.25097597454,,,,
1706034600,38034,38040,38018,38037,,35715.01071858153,35978.49103279272,35490.42285097454,35734.45694188363,,,,
1706035200,38036,38083,38035,38069,,35724.73383023258,37138.64728279272,35724.73383023258,36558.56915779272,,,,
1706035800,38069,38077,38061,38072,,36141.65149401265,37795.33478279272,36141.65149401265,37466.99103279272,,,,
1706036400,38073,38076,38054,38059,,36804.321263402686,37795.33478279272,36804.321263402686,37390.33478279272,,,,
1706037000,38058,38072,38051,38057,,37097.3280230977,37097.3280230977,36579.38240184034,36782.35859231653,,,,
1706037600,38057,38062,38039,38048,,36939.84330770712,36939.84330770712,36017.991097492515,36298.68674966643,,,,
1706038200,38049,38069,38040,38062,,36619.26502868677,36845.68075266493,36017.991097492515,36431.83592507872,,,,
1706038800,38062,38085,38058,38071,,36525.550476882745,37688.34741933159,36525.550476882745,37267.014085998264,,,,
1706039400,38072,38092,38062,38082,,36896.28228144051,38371.68075266493,36896.28228144051,38030.014085998264,,,,
1706040000,38083,38091,38066,38082,,37463.148183719386,38371.68075266493,37463.148183719386,38110.12075266492,,,,
1706040600,38083,38115,38083,38106,,37786.634468192155,39283.717002664926,37786.634468192155,38566.138877664926,,,,
1706041200,38107,38114,38081,38088,,38176.38667292854,39283.717002664926,38176.38667292854,38866.141245089166,,,,
1706041800,38087,38091,38058,38068,,38521.26395900885,38521.26395900885,37065.05033599826,37756.80791175584,,,,
1706042400,38067,38085,38061,38068,,38139.035935382344,38139.035935382344,37065.05033599826,37549.1649193316,,,,
1706043000,38068,38106,38067,38090,,37844.10042735697,42318.1384770239,37844.10042735697,40175.70898984441,,,,
1706043600,38090,38100,38081,38088,,39009.90470860069,42318.1384770239,39009.90470860069,41584.243740181795,,,,
1706044200,38088,38107,38086,38103,,40297.07422439124,41301.20614619683,40297.07422439124,41075.77757476826,,,,
1706106600,38207,38244,38176,38222,,40686.42589957975,46703.529675608595,40686.42589957975,44002.367910902714,,,,
1706107200,38223,38241,38141,38163,,42344.39690524123,46703.529675608595,42344.39690524123,44728.32967560859,,,,
